ID,,Motivation,Confidence,Problem Interpretation,Preference,Issues,Q#,,
260209,d,I,S,,,,1a,Maximize A without much loss,
,,,,,,,1b,To get the best outcome,
,,,,,,,2a,More A is desirable,
,,,,,,,2b,to maximum success,
,,,,,,,3a,More A is desirable ,
,,,,,,,3b,Maximum success,
,,I,S,,,,4a,Maximize A,
,,I,S,,S,,4b,Rather maximize one then have both low,
,,I,S,,S,,5a,Maximize A,
,,I,S,,,,5b,Minimize A's losses,
,,,S,,,,6a,Maximize gains as much as possible,
,,,S,,,,6b,To achieve a higher outcome,
,,,S,,,,7a,Higher values,
,,,S,,,,7b,Higher values equals better outcome,
,,,S,,,,8a,Maximize Value,
,,,S,,,,8b,Greater value equals better outcomes,
,,,S,,,,9a,Maximize outcome,
,,,S,,,,9b,Increase value,
260210,c,I,S,,,,1a,My strategy was to get A as high as possible. ,
,,I,S,,,,1b,I used this strategy because the goal of the round was to get A as high as possible. ,
,,I,S,,,,2a,My strategy was to maximize A. ,
,,I,S,,,,2b,I used this strategy because the goal is to produce A as much as possible over the two periods. ,
,,I,S,,,,3a,I maximized A by putting all the sliders on 10.,
,,P,S,,,,3b,"I used this strategy because the higher amount of A generated, the more reward.",
,,I,S,,C,,4a,I chose to go high on B and relatively low on A,
,,I,S,,T,,4b,I chose this because the drop from the point I chose on the x axis to the next point had a significant impact on B but not A. ,
,,I,S,,,,5a,For this strategy I tried to maximize production for B during period 1 and then A for period 2.,
,,I,S,,,,5b,I used this strategy because there were two periods and both A and B are desired. ,
,,,S,,,,6a,"I chose a low number for period 1, a high number for period 2 and middle for period 3",
,,I,S,,,,6b,"I used this strategy because during period 1, B was high. During period 2, A was high, and during period 3 they both were average. ",
,,I,S,,C,,7a,"I chose a strategy that was mutually beneficial for A, B and C",
,,,S,,C,,7b,I used this strategy because I wanted all three to benefit. ,
,,,S,,C,,8a,I chose an equalizing strategy.,
,,I,S,,C,,8b,"I chose this strategy because A, B, and C would be equal over the two periods, but B would be produced more during period 1 and C would be during period 2. ",
,,,S,,,,9a,I chose to increase round 2 by 2.1,
,,,S,,,,9b,Everything increased to maximum production when I adjusted the period 2 level. ,
260211,a,I,S,,,,1a,My strategy was to make the economic benefits as high as possible ,
,,I,S,,,,1b,I used this strategy because the goal was to get greater economic benefits ,
,,I,,,,,2a,I was trying to maximize the economic benefits ,
,,I,S,,,,2b,I used this strategy because the goal was to maximize economic benefits ,
,,I,,,,,3a,I was trying to maximize economic benefits ,
,,I,S,,,,3b,the goal was to maximize economic benefits ,
,,I,,,C,,4a,I was trying to maximize both water quality and economic benefits ,
,,I,S,,T,,4b,"the goal was to maximize both, I decided water quality was more important than economic benefits because it dropped low when economic benefits were not even that high so it was not worth it to maximize economic benefits ",
,,I,,,C,,5a,I was trying to maximize both water quality and economic benefits,
,,I,S,,S,,5b,"the goal was to maximize both, however I sacrificed water quality for economic benefits ",
,,I,,,C,,6a,I was trying to maximize both water quality and economic benefits ,
,,I,S,,S,,6b,I had to sacrifice water quality for economic benefits because water quality was dropping low way too fast ,
,,I,,,C,,7a,"I was trying to maximize reliability, economic benefits, and water quality ",
,,,S,,C,,7b,the goal is to maximize all three ,
,,I,,,C,,8a,"I was trying to maximize water quality, reliability and economic impact",
,,,S,,C,,8b,The goal is to maximize all three ,
,,I,,,C,,9a,"I was trying to maximize water quality, reliability and economic impact  ",
,,,S,,C,,9b,the goal is to maximize all three ,
260212,b,,S,,,,1a,I was determining how exactly much waste I was going to allow for,
,,,S,,,,1b,I used this strategy because it seemed the most effective.,
,,,S,,,,2a,I had to decide how much waste I needed to allow for. ,
,,,,,,,2b,I used this strategy because it worked best when trying to figure out exactly how much I needed to allow for,
,,I,S,,,,3a,"The strategy that I used from 0-33 I made this the highest therefore, it had a high economic benefit. ",
,,,S,,,,3b,I used this strategy because it was the most useful to me. The other years were much less ,
,,I,,Sd,C,,4a,The higher the water quality the higher the economic benefit. I was trying to increase the water quality so that the economic benefit would increase as well. ,
,,,S,,,,4b,I used this strategy in order to solve the problem that was accounted for. ,
,,I,S,,,,5a,"As the periods increase in age, the economic benefits increase as well.",
,,I,S,Sd,,,5b,"I used this strategy because as the periods start getting bigger, the economic benefits are increasing. ",
,,I,,,,,6a,I was trying to make the water quality and economic benefits neutral. This helps when trying to explore that each period can we different at times. ,
,,I,S,,,,6b,I used this strategy because waste can increase over time and that the water quality has a correlation with this. ,
,,,S,,,,7a,"My strategy for this was taking into consideration when the dot was near the reliability line, this was higher up. In addition, when the dot was near the water supply this was a major factor. ",
,,,S,Sd,,,7b,"I used this strategy because the higher the water quality is the higher the economic benefits are. In addition, if the dot was near the reliability line then it was neutral.",
,,,S,D,,,8a,"This strategy was effective in that every time the dot was closer to the water quality, I increased the period in years. ",
,,,S,,,,8b,I used this strategy because if the arrows always point towards the higher values this explains a lot. ,
,,,S,,,,9a,"This strategy helped me a lot because everytime I made a decision, the water quality and economic benefits was what I based it on. ",
,,,S,D,,,9b,I used this strategy because it was effective and went quite smoothly. I increased the amount of years if the dot was high. ,
260215,b,I,S,,,,1a,Maximize economic benefit,
,,P,S,,,,1b,Maximizing benefit corresponds to higher payoff,
,,I,S,,,,2a,Maximize economic benefit,
,,P,S,,,,2b,Higher benefit = higher payoff,
,,I,S,O,,,3a,Maximize benefit while attempting to minimize waste,
,,I,S,O,,,3b,"Maximum benefit is ideal however, waste is also a factor due to attachment to the lake",
,,I,,Am,C,,4a,"Trying to maximize benefit using all examples, while keeping in mind that some waste can be removed. ",
,,I,S,Am,C,,4b,"Some waste can removed over the years hence allowing for a consistent amount of waste to be produced. Therefore to maximize benefit over all examples, I chose an amount that was a middle ground between the no benefit examples and the full and substantial benefit examples. Some waste can be removed over the years and that would recover the water quality in the low economic benefit examples while maximizing benefit.",
